date,ticker,exchange,sector,industry,currency,open,high,low,close,adj_close,previous_close,volume,turnover,market_cap,shares_outstanding,pe_ratio,eps,dividend_per_share,dividend_yield,dividend_ex_date,split_ratio,52w_high,52w_low,50d_ma,200d_ma,avg_true_range,volatility_30d,beta_to_index,returns_daily,returns_5d,returns_20d,gap_open,day_of_week,month,quarter,is_month_end,is_quarter_end
2024-01-02,AAPL,NASDAQ,Technology,Consumer Electronics,USD,187.20,189.50,186.80,188.70,188.70,186.15,51234000,9664549800,2920000000000,15470000000,29.3,6.44,0.24,0.0051,2023-11-10,1.0,199.62,124.17,185.40,172.30,2.10,0.215,1.12,0.0137,0.0215,0.0841,0.0056,Tuesday,1,1,0,0
2024-01-03,AAPL,NASDAQ,Technology,Consumer Electronics,USD,188.90,190.10,187.50,189.80,189.80,188.70,49876000,9467222880,2928000000000,15470000000,29.4,6.46,0.24,0.0051,2023-11-10,1.0,199.62,124.17,185.60,172.45,2.05,0.214,1.11,0.0058,0.0199,0.0794,0.0011,Wednesday,1,1,0,0
2024-01-04,AAPL,NASDAQ,Technology,Consumer Electronics,USD,189.50,191.80,189.10,191.20,191.20,189.80,53210000,10183084000,2943000000000,15470000000,29.6,6.46,0.24,0.0050,2023-11-10,1.0,199.62,124.17,185.90,172.60,2.30,0.216,1.10,0.0074,0.0187,0.0710,0.0074,Thursday,1,1,0,0
2024-01-05,AAPL,NASDAQ,Technology,Consumer Electronics,USD,191.40,192.60,190.10,191.00,191.00,191.20,60123000,11485743000,2940000000000,15400000000,29.5,6.47,0.24,0.0050,2023-11-10,1.0,199.62,124.17,186.10,172.85,2.15,0.218,1.10,-0.0010,0.0179,0.0645,0.0010,Friday,1,1,1,0
2024-01-08,AAPL,NASDAQ,Technology,Consumer Electronics,USD,191.30,193.00,190.40,192.80,192.80,191.00,45567000,8779057600,2965000000000,15400000000,29.8,6.47,0.24,0.0050,2023-11-10,1.0,199.62,124.17,186.40,173.10,2.05,0.219,1.09,0.0094,0.0134,0.0520,0.0016,Monday,1,1,0,0
2024-01-09,AAPL,NASDAQ,Technology,Consumer Electronics,USD,193.10,194.20,192.00,193.50,193.50,192.80,47230000,9140055000,2972000000000,15400000000,29.9,6.47,0.24,0.0049,2023-11-10,1.0,199.62,124.17,186.80,173.40,2.00,0.220,1.09,0.0036,0.0129,0.0494,0.0016,Tuesday,1,1,0,0
2024-01-10,AAPL,NASDAQ,Technology,Consumer Electronics,USD,193.40,195.00,193.20,194.90,194.90,193.50,48890000,9528110000,2983000000000,15350000000,30.1,6.47,0.24,0.0049,2023-11-10,1.0,199.62,124.17,187.10,173.70,2.10,0.222,1.08,0.0072,0.0119,0.0472,0.0021,Wednesday,1,1,0,0
2024-01-11,AAPL,NASDAQ,Technology,Consumer Electronics,USD,195.00,195.80,193.90,194.20,194.20,194.90,50112000,9721742400,2975000000000,15350000000,30.0,6.47,0.24,0.0049,2023-11-10,1.0,199.62,124.17,187.35,173.95,2.05,0.224,1.07,-0.0036,0.0069,0.0428,-0.0046,Thursday,1,1,0,0
2024-01-12,AAPL,NASDAQ,Technology,Consumer Electronics,USD,194.50,196.10,194.20,195.90,195.90,194.20,52345000,10258105500,2998000000000,15350000000,30.3,6.47,0.24,0.0048,2023-11-10,1.0,199.62,124.17,187.80,174.25,2.15,0.225,1.07,0.0087,0.0064,0.0402,0.0062,Friday,1,1,0,0
2024-01-16,AAPL,NASDAQ,Technology,Consumer Electronics,USD,196.20,197.80,195.90,197.50,197.50,195.90,47680000,9401600000,3010000000000,15290000000,30.5,6.47,0.24,0.0048,2024-02-09,1.0,199.62,124.17,188.20,174.60,2.20,0.227,1.06,0.0081,0.0100,0.0387,0.0015,Tuesday,1,1,0,0
2024-01-17,AAPL,NASDAQ,Technology,Consumer Electronics,USD,197.60,198.40,196.80,197.20,197.20,197.50,46220000,9125864000,3005000000000,15290000000,30.5,6.47,0.24,0.0048,2024-02-09,1.0,199.62,124.17,188.50,174.95,2.00,0.226,1.05,-0.0015,0.0092,0.0347,-0.0020,Wednesday,1,1,0,0
2024-01-18,AAPL,NASDAQ,Technology,Consumer Electronics,USD,197.10,199.00,196.90,198.80,198.80,197.20,50890000,10113432000,3020000000000,15290000000,30.8,6.45,0.24,0.0048,2024-02-09,1.0,199.62,124.17,188.90,175.25,2.10,0.228,1.05,0.0081,0.0106,0.0350,0.0046,Thursday,1,1,0,0
2024-01-19,AAPL,NASDAQ,Technology,Consumer Electronics,USD,198.90,199.80,197.50,198.20,198.20,198.80,59760000,11861712000,3010000000000,15290000000,30.6,6.48,0.24,0.0048,2024-02-09,1.0,199.62,124.17,189.20,175.60,2.15,0.229,1.05,-0.0030,0.0065,0.0316,-0.0030,Friday,1,1,1,0
